role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,4,1,40.0,body,88,72,0,body_72,14,2,0.044039354454895326,-0.020946342598318478,0.01649157649304346,0.1600931181153029,0.04876693561266732,0.1609402950261563,0.027547777961851865,-0.1810394607136214,0.18312336390017075,-2.397890400429793,0.21967222355778843,0.07605007099994525,-1.5975332935724411,-1.2195525531955929,-1.033163312875048,0.11878656445826245,2.00983110088343,1.0399695567499758,-0.5643699806973932,-1.3383391176538553,1.4524686120377528,-0.5071295833355324,1.0623843547723144,1.2338150512318824,-2.9050199837653254,1.2820565783301028,-1.2754671194101128,0,-0.43763042969512034,0.43763042969512034,0
historical,11,2,40.0,body,102,86,0,body_86,17,1,-0.01451069099194699,0.10348807252275098,-0.026867932994687073,0.06236285151967474,0.10450043687725874,0.06790442601975215,0.012357242002740083,0.041125221003076244,0.042941649158668174,0.10511194040011197,-0.6109573798929496,0.06926816342252667,0.2923797896401204,-0.33025111777445865,-1.8590174687227978,2.509078074296355,0.4410801992623115,3.122726169860435,2.1513972583629184,-2.8393291920708137,3.562344793003196,-2.785544501345985,-0.08338590247567021,1.2782957597999707,-2.680432560945873,-0.6943432823686199,-4.22869031811859,0,-3.566307951424279,3.566307951424279,0
historical,26,3,45.0,body,19,3,0,body_03,0,3,-0.09918813930998129,-0.10777386548960383,-0.1267454083491434,0.030772279611967705,0.1464701097915458,0.13042749606623688,0.027557269039162127,-0.13854614510157154,0.14126017626848156,-1.3019564462265856,-0.8665081042698978,0.09032292821036787,-0.282179999538587,-0.25387208170343434,-3.199511956394783,1.7241468946227911,0.3795742167324227,3.6344957385242025,2.917331956856196,-1.9780189763262255,3.5246822292514612,-2.603568218932198,-1.5227031867637457,1.1686010640144848,-3.9055246651587834,-2.3892112910336434,-3.763125767128919,0,-1.9879582706545396,1.9879582706545396,0
historical,19,3,35.0,body,79,63,1,body_63,12,3,0.030550379215635613,0.10847108286416206,-0.09179048575732396,-0.22641680719454899,0.11269117750712809,0.24431550064565913,0.12234086497295957,0.33488789005871106,0.35653497184751354,11.393434508682379,-4.093391799464485,0.029449994090746633,-0.9695704737083689,0.7062274663539503,-0.5755302005834503,-0.19122490894209007,1.1995099573241528,0.6064667984181303,-0.3940402731249186,0.8974523752960404,0.9801471842375845,0.5112247849940189,-0.18811275412808035,1.7993071570016066,11.904659293676398,-4.2815045535925655,1.1874488642105177,1,1.0124630758869202,1.0124630758869202,1
historical,5,1,35.0,body,30,14,1,body_14,2,4,0.07898307670595349,-0.001527357692453193,-0.010875408166797435,0.13751986491738877,0.0789978431823251,0.13794922163495993,0.08985848487275093,-0.13904722260984195,0.16555566260064122,-0.6674853205704965,-2.2010268721109876,0.07198034225314363,0.8835013694931715,0.15290348922707958,-0.3496755897232358,-0.24399746639809464,0.8966349016819082,0.4263892372668218,1.2331769592164072,0.39690095562517425,1.2954751179850585,-0.24081700142689125,-0.43372725683590735,2.611334693103259,-0.9083023219973877,-2.634754128946895,-1.3191590670381736,0,-1.2500766971102644,1.2500766971102644,0
historical,21,3,25.0,body,93,77,0,body_77,15,2,-0.0007391011111248203,0.05712886959411533,0.06704376354129829,0.04408157300320321,0.05713365043084418,0.08023746823160768,-0.06778286465242311,0.013047296590912125,0.06902715906670315,0.9109820004369152,1.7925311037419225,0.03432931385623111,1.5227110734321685,-2.4891007229373856,-3.338081219574984,3.6290670676843626,2.9179224496343905,4.930812712954163,4.860792293007153,-6.118167790621748,7.8140436926062256,-6.898393366294662,-0.8129862704212637,1.1249485943055493,-5.987411365857747,0.9795448333206588,-6.269513731585638,0,-6.019401193261933,6.019401193261933,0
historical,17,2,100.0,body,90,74,1,body_74,14,4,0.028751695318271885,0.060110266364399624,0.07909644790422761,0.07614320389461413,0.06663260542762688,0.10979087198124884,-0.05034475258595572,-0.0160329375302145,0.05283605964479993,-0.4115017055238218,0.6842659436701676,0.06617166959989917,-3.0126313583678344,1.6491104913411467,1.735874894736893,0.13612041426092578,3.434459653871721,1.741203726551372,-4.748506253104727,1.512990077080221,4.983718552358059,0.7661022500213044,1.1662900057807988,3.5715304523660034,0.3546005444974826,1.8505559494509662,7.901826864780598,1,7.956688260986031,7.956688260986031,1
historical,25,3,50.0,body,48,32,1,body_32,6,2,0.0857876003353294,-0.013405333538566908,-0.09310147062012752,0.03617814477985655,0.08682865505450625,0.09988364226109664,0.17888907095545692,-0.049583478318423455,0.18563356654834834,-0.5056379557729924,-2.0024065037858603,0.0898838442640238,-1.0039323291908184,0.1903629375413836,-3.4802438974823855,1.7338077542824712,1.021821006626839,3.8882112744517126,2.476311568291567,-1.5434448167410877,2.9179343525137043,-1.3210191203705106,-0.47508447640525553,2.078521855093193,-1.826657076143503,-2.477490980191116,-3.007251252061007,0,-3.2662301226743757,3.2662301226743757,0
historical,21,3,25.0,body,54,38,0,body_38,7,3,-0.007217284680844995,-0.0327752087197495,0.023125054040146153,-0.016057685531888008,0.033560445539168635,0.028153461403541222,-0.03034233872099115,-0.016717523187861495,0.03464293723973251,-0.2237176444565718,0.9840250705817373,0.03432931385623111,-0.10514837558832998,-0.7115509432578868,0.44732978367659165,0.43955052467400746,0.7192780587089064,0.6271432046234269,-0.5524781592649216,-1.1511014679318943,1.2768189793152818,-0.6117699121182404,0.9560163522303518,1.1249485943055493,-0.8354875565748122,1.940041422812089,-0.5674616969963099,0,-0.533818288327656,0.533818288327656,0
historical,34,4,40.0,body,38,22,1,body_22,4,2,0.008744557400036528,0.2188112872578166,0.044713783964474584,-0.07722555171574837,0.2189859509547251,0.08923625000090171,-0.03596922656443806,0.296036838973565,0.29821400921000396,2.2982607196481153,-2.587952275379506,0.08616059867726071,-2.145467323067187,-1.0694488304769807,0.0786107708976113,0.35297204942883964,2.3972381682589785,0.3616198570033343,-2.224078093964798,-1.4224208799058204,2.6400387360124355,1.4331870440733097,0.9191983593673047,1.5505646627394865,3.731447763721425,-1.6687539160122014,3.761707432721029,1,1.9952676672996525,1.9952676672996525,1
