sequence,phase,scheme,repetition,duty_percent,duty_label,frame_bits,start_offset_s,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,sync_correlation_score,sample_rate_hz,sync_bit_errors,coded_body_bit_errors,raw_frame_bit_errors,raw_payload_bit_errors,raw_payload_frame_error,coded_body_frame_error,raw_symbol_errors,decoder_failure,rs5_application_padding_valid,decoder_corrected_units,hamming_syndrome,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,payload_bits_per_frame,decoded_payload_frame_error,frame_error,sync_inclusive_diagnostic_frame_error,decoded_payload_bits,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,positive_inband_power_estimate,tone_coherence,off_coherence,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
31,short,rs5_3,3,25.000000000,commanded 25%,41,963.884999846,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.562409525,200.000000032,1,6,7,3,1,1,4,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.706211967,0.321262602,0.785434354,1.726630855,0.252377428,7.665216352,5.106873129,1,0.368934663,0.023491829,20.501181000,20.500000000,0.001181000,30.508002996,0.008002996,15625.000000000,164,0,15645.593000000,15755.241000000,15784.728000000,16616.722000000
32,short,uncoded,3,25.000000000,commanded 25%,27,999.389999840,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.503811786,200.000000032,1,4,5,4,1,1,,0,,0,0,4,11,11,1,1,1,00101010110,4095,0.000000000,0.000000000,0.000000000,0.409675310,0.648019588,,1.701875509,0.172862786,9.467095918,1.965337619,1,0.111915274,0.057398768,13.501151000,13.500000000,0.001151000,35.507998943,0.007998943,15625.000000000,108,0,15646.703000000,15763.278000000,15777.511000000,16595.445000000
33,short,hamming15_11,3,25.000000000,commanded 25%,31,1027.899999835,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.512349477,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.396271300,0.988638682,,1.993098281,0.152223595,10.825422519,0.391578671,1,0.019531633,0.079470132,15.501151000,15.500000000,0.001151000,28.506998062,0.006998062,15625.000000000,124,0,15648.111000000,15753.843000000,15777.590000000,16608.833000000
34,short,uncoded,3,10.000000000,commanded 10%,27,1058.404999831,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.414677824,200.000000032,5,4,9,4,1,1,,0,,0,0,4,11,11,1,1,1,00000111000,4095,0.000000000,0.000000000,0.000000000,0.510027224,0.525493543,,0.426728997,0.184482020,1.183043221,-4.956373901,1,0.052446290,0.014464087,13.501148000,13.500000000,0.001148000,30.508001089,0.008001089,6250.000000000,108,0,6412.648000000,6765.195000000,6780.667000000,6789.871000000
35,short,hamming15_11,3,10.000000000,commanded 10%,31,1086.914999826,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.348780690,200.000000032,5,3,8,1,1,1,,0,,1,5,2,11,11,1,1,1,11000011100,4095,0.000000000,0.000000000,0.000000000,0.517758018,0.476182741,-10.589385008,0.353998458,0.249323036,-3.769176877,-6.955429257,1,0.003268735,0.000600952,15.501156000,15.500000000,0.001156000,28.506999016,0.006999016,6250.000000000,124,0,6581.426000000,6756.075000000,6774.666000000,6780.241000000
36,short,rs5_3,3,10.000000000,commanded 10%,41,1117.419999821,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.357683145,200.000000032,2,7,9,3,1,1,4,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.504436727,0.291639504,-1.368803965,0.476790743,0.172275988,2.473835930,0.473136585,1,0.007110123,0.138710078,20.501161000,20.500000000,0.001161000,30.508002996,0.008002996,6250.000000000,164,0,6535.481000000,6763.806000000,6781.724000000,6795.759000000
37,short,hamming15_11,3,1.000000000,"commanded 1%, timing-limited",31,1152.929999815,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.164345940,200.000000032,5,7,12,5,1,1,,0,,1,6,6,11,11,1,1,1,10100100110,4095,0.000000000,0.000000000,0.000000000,0.479788501,0.601340144,,0.278230516,0.200273730,-4.097700643,,0,0.043071115,0.080497076,15.501183000,15.500000000,0.001183000,35.507996798,0.007996798,625.000000000,124,62,652.000000000,761.417000000,775.382000000,1620.593000000
38,short,rs5_3,3,1.000000000,"commanded 1%, timing-limited",41,1183.439999811,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.226672030,200.000000032,3,10,13,4,1,1,5,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.474080055,0.495798496,,0.267105136,0.177356544,-2.958195770,-9.954136745,1,0.150648790,0.074697176,20.501175000,20.500000000,0.001175000,30.507999182,0.007999182,625.000000000,164,82,651.666000000,757.536000000,771.678000000,1625.204000000
39,short,uncoded,3,1.000000000,"commanded 1%, timing-limited",27,1218.944999805,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.087601681,200.000000032,6,7,13,7,1,1,,0,,0,0,7,11,11,1,1,1,01010110101,4095,0.000000000,0.000000000,0.000000000,0.563945066,0.362699920,-2.558220466,0.187013497,0.223476239,,-5.511173175,1,0.233140862,0.006304234,13.501163000,13.500000000,0.001163000,35.508002996,0.008002996,625.000000000,108,54,640.074000000,753.000000000,771.876000000,1592.686000000
40,short,rs5_3,3,100.000000000,commanded 100%,41,1247.454999800,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.545554074,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.380682615,0.417408176,,10.242882981,0.348192021,14.535834200,11.097852532,1,0.081499325,0.199061132,20.501163000,20.500000000,0.001163000,28.507995844,0.007995844,62500.000000000,0,0,,,,
